City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,59.18,78,14,1.99,few clouds
1,Bengkulu,ID,-3.8004,102.2655,75.52,83,57,3.49,broken clouds
2,Ovre Ardal,NO,61.3167,7.8,54.14,85,64,6.35,broken clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,58.33,62,4,6.98,clear sky
4,Tabatinga,BR,-4.2525,-69.9381,78.8,78,75,2.3,broken clouds
5,Ushuaia,AR,-54.8,-68.3,38.86,65,75,14.97,broken clouds
6,Albany,US,42.6001,-73.9662,79.18,63,61,8.16,broken clouds
7,Fayetteville,US,35.0527,-78.8784,88.21,67,0,10.36,clear sky
8,Bluff,NZ,-46.6,168.3333,50.81,76,31,26.06,scattered clouds
9,Lazaro Cardenas,MX,17.9583,-102.2,84.27,72,93,7.78,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,70.32,43,75,9.22,broken clouds
11,Cayenne,GF,4.9333,-52.3333,82.09,1,20,0.0,few clouds
12,Rikitea,PF,-23.1203,-134.9692,73.87,75,6,21.39,clear sky
13,Fortuna,US,40.5982,-124.1573,59.94,89,100,1.99,overcast clouds
14,Hobart,AU,-42.8794,147.3294,46.26,85,0,9.22,clear sky
15,Cherskiy,RU,68.75,161.3,40.89,93,100,12.59,light rain
16,Cabo San Lucas,MX,22.8909,-109.9124,94.6,62,0,11.77,clear sky
17,Hermanus,ZA,-34.4187,19.2345,57.79,73,8,15.5,clear sky
18,Necochea,AR,-38.5473,-58.7368,41.97,68,3,7.02,clear sky
19,Dawei,MM,14.0833,98.2,76.68,93,100,1.63,light rain
20,Castro,BR,-24.7911,-50.0119,56.12,81,0,4.27,clear sky
21,Ulladulla,AU,-35.35,150.4667,56.3,73,100,20.02,light rain
22,Bredasdorp,ZA,-34.5322,20.0403,52.23,75,2,9.26,clear sky
23,Moree,AU,-29.4667,149.85,42.82,93,100,1.14,overcast clouds
24,Atuona,PF,-9.8,-139.0333,77.34,81,6,14.72,clear sky
25,Progreso,MX,21.2833,-89.6667,82.26,80,11,17.58,few clouds
26,Grindavik,IS,63.8424,-22.4338,49.95,87,75,14.97,broken clouds
27,Waslala,NI,13.2333,-85.3833,71.8,98,100,5.14,light rain
28,Acapulco,MX,16.8634,-99.8901,85.82,74,40,11.5,scattered clouds
29,Ponta Do Sol,PT,32.6667,-17.1,70.43,79,48,2.48,scattered clouds
30,Bundi,IN,25.4417,75.6417,81.97,74,49,7.43,light rain
31,Codrington,AU,-38.2667,141.9667,51.33,67,100,9.62,overcast clouds
32,Jamestown,US,42.097,-79.2353,74.84,46,0,9.22,clear sky
33,Busselton,AU,-33.65,115.3333,48.88,74,0,7.27,clear sky
34,Karratha,AU,-20.7377,116.8463,59.92,34,1,20.89,clear sky
35,Nampula,MZ,-15.1165,39.2666,59.83,99,32,4.47,scattered clouds
36,Cape Town,ZA,-33.9258,18.4232,59.38,84,75,11.01,broken clouds
37,Esperance,AU,-33.8667,121.9,50.11,73,0,9.57,clear sky
38,Liusha,CN,27.2098,108.59,70.59,95,99,3.31,overcast clouds
39,Saldanha,ZA,-33.0117,17.9442,55.45,81,24,9.55,light rain
40,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.74,78,0,19.15,clear sky
41,Hilo,US,19.7297,-155.09,80.26,65,100,14.97,overcast clouds
42,Punta Arenas,CL,-53.15,-70.9167,33.91,80,75,3.44,broken clouds
43,Airai,TL,-8.9266,125.4092,61.41,92,97,3.96,overcast clouds
44,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.38,98,71,3.36,broken clouds
45,Saskylakh,RU,71.9167,114.0833,63.54,47,48,10.65,scattered clouds
46,Avarua,CK,-21.2078,-159.775,80.65,61,20,11.5,few clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,71.55,87,58,5.01,broken clouds
48,Dalby,AU,-27.1833,151.2667,48.97,84,0,1.01,clear sky
49,Tiksi,RU,71.6872,128.8694,41.58,98,100,4.7,light rain
50,Kapaa,US,22.0752,-159.319,84.52,70,20,16.11,few clouds
51,Strezhevoy,RU,60.7333,77.5889,52.47,81,98,7.02,overcast clouds
52,Kuah,MY,6.3265,99.8432,80.58,89,20,3.44,few clouds
53,Coihaique,CL,-45.5752,-72.0662,36.21,75,40,3.44,scattered clouds
54,Pisco,PE,-13.7,-76.2167,64.45,72,40,8.05,scattered clouds
55,Port Lincoln,AU,-34.7333,135.8667,53.24,64,99,9.28,overcast clouds
56,Abha,SA,18.2164,42.5053,73.65,35,0,5.75,clear sky
57,Syasstroy,RU,60.1367,32.5691,63.79,69,100,3.85,overcast clouds
58,Babstovo,RU,48.1167,132.4833,76.51,73,93,3.94,overcast clouds
59,Pevek,RU,69.7008,170.3133,32.02,98,100,6.64,snow
60,Olinda,BR,-8.0089,-34.8553,78.53,78,75,16.11,broken clouds
61,Varhaug,NO,58.6147,5.6457,57.88,87,81,15.75,broken clouds
62,Rasht,IR,37.2808,49.5832,75.02,64,75,0.0,broken clouds
63,Faya,SA,18.3851,42.4509,73.92,37,84,4.76,broken clouds
64,Dikson,RU,73.5069,80.5464,32.68,96,98,13.47,overcast clouds
65,Faanui,PF,-16.4833,-151.75,79.43,64,10,15.84,clear sky
66,Arraial Do Cabo,BR,-22.9661,-42.0278,71.13,81,0,22.08,clear sky
67,Homer,US,59.6425,-151.5483,62.76,66,0,5.75,clear sky
68,Khatanga,RU,71.9667,102.5,49.1,79,97,13.11,overcast clouds
69,Caucaia,BR,-3.7361,-38.6531,81.03,79,20,11.5,few clouds
70,Jijiga,ET,9.35,42.8,64.02,64,77,19.91,broken clouds
71,Butaritari,KI,3.0707,172.7902,82.8,78,96,19.3,light rain
