City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bengkulu,ID,75.52,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
4,Tabatinga,BR,78.8,broken clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
6,Albany,US,79.18,broken clouds,42.6001,-73.9662,
7,Fayetteville,US,88.21,clear sky,35.0527,-78.8784,American Eagle Inn
9,Lazaro Cardenas,MX,84.27,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
10,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
11,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
12,Rikitea,PF,73.87,clear sky,-23.1203,-134.9692,People ThankYou
19,Dawei,MM,76.68,light rain,14.0833,98.2,Hotel Dawei
24,Atuona,PF,77.34,clear sky,-9.8,-139.0333,Villa Enata
25,Progreso,MX,82.26,few clouds,21.2833,-89.6667,Playa Linda Hotel
27,Waslala,NI,71.8,light rain,13.2333,-85.3833,
28,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
29,Ponta Do Sol,PT,70.43,scattered clouds,32.6667,-17.1,Hotel do Campo
30,Bundi,IN,81.97,light rain,25.4417,75.6417,Hotel Bundi Inn-A Heritage Haveli
32,Jamestown,US,74.84,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Liusha,CN,70.59,overcast clouds,27.2098,108.59,
40,Sao Joao Da Barra,BR,71.74,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
41,Hilo,US,80.26,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Santa Isabel Do Rio Negro,BR,73.38,broken clouds,-0.4139,-65.0192,Hotel GSA
46,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
47,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Kuah,MY,80.58,few clouds,6.3265,99.8432,Azio Hotel
56,Abha,SA,73.65,clear sky,18.2164,42.5053,Abha Hotel
58,Babstovo,RU,76.51,overcast clouds,48.1167,132.4833,
60,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
62,Rasht,IR,75.02,broken clouds,37.2808,49.5832,Travellers Camping
63,Faya,SA,73.92,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
65,Faanui,PF,79.43,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Arraial Do Cabo,BR,71.13,clear sky,-22.9661,-42.0278,Pousada Porto Praia
69,Caucaia,BR,81.03,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
71,Butaritari,KI,82.8,light rain,3.0707,172.7902,Isles Sunset Lodge
75,Hasaki,JP,86.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
78,Aklavik,CA,84.2,few clouds,68.2191,-135.0107,Aklavik Inn
79,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
80,Atambua,ID,74.71,broken clouds,-9.1061,124.8925,Kost Alfa Flat
82,Sao Filipe,CV,73.96,scattered clouds,14.8961,-24.4956,Hotel Xaguate
84,Shingu,JP,76.37,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
87,Mandali,IQ,86.59,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
89,Sibolga,ID,74.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
93,Coahuayana,MX,83.97,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
95,Carauari,BR,79.93,overcast clouds,-4.8828,-66.8958,Hotel Fellip
99,Katsuura,JP,78.1,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
101,Poquoson,US,86.02,clear sky,37.1224,-76.3458,Whitehouse Cove
103,Tual,ID,80.62,moderate rain,-5.6667,132.75,Grand Vilia Hotel
104,Biak,ID,80.47,broken clouds,-0.9131,122.8766,Penginapan Kim
